taxid,ko
45455,K24585
10376,K24585
12509,K24585
106331,K24585
45455,K19453
10376,K19453
12509,K19453
45455,K21532
10376,K21532
12509,K21532
106331,K21532
45455,K19450
10376,K19450
12509,K19450
45455,K22973
10376,K22973
12509,K22973
45455,K22975
10376,K22975
12509,K22975
45455,K19451
10376,K19451
12509,K19451
45455,K19452
10376,K19452
12509,K19452
10310,K25930
10325,K25930
10335,K25930
32604,K25930
10298,K25930
10359,K25930
10372,K25930
10376,K25930
37296,K25930
931210,K19260
909333,K19260
998829,K19260
915424,K19260
889813,K19260
526413,K19260
1081054,K19260
1081055,K19260
1055684,K19260
1087108,K19260
1087109,K19260
1144379,K19260
990303,K19260
1070410,K19260
1070413,K19260
706527,K19260
1104917,K19260
333767,K19260
40540,K19260
1236767,K19260
2772507,K19260
10567,K19260
10570,K19260
333923,K19260
333760,K19260
337042,K19260
334203,K19260
337043,K19260
10600,K19260
333759,K19260
333763,K19260
333764,K19260
10616,K19260
10617,K19260
333765,K19260
10620,K19260
10621,K19260
10623,K19260
28311,K19260
333762,K19260
35258,K19260
1671798,K19260
1336600,K19260
2259540,K19260
1472342,K19260
1398507,K19260
1408129,K19260
1352235,K19260
990304,K19260
1226723,K19260
1472717,K19260
1478160,K19260
1036963,K19260
247269,K19260
2908011,K19260
312349,K19260
338903,K19260
360397,K19260
392505,K19260
10568,K19260
292792,K19260
338323,K19260
915425,K19260
479058,K19260
464980,K19260
337054,K19260
461322,K19260
500654,K19260
446138,K19260
445217,K19260
565537,K19260
915427,K19260
915426,K19260
759701,K19260
915429,K19260
763552,K19260
333769,K19260
10561,K19260
211787,K19260
746832,K19260
990303,K21808
333767,K21808
10570,K21808
333760,K21808
337042,K21808
337043,K21808
10600,K21808
333759,K21808
333763,K21808
333764,K21808
333765,K21808
10620,K21808
333762,K21808
1671798,K21808
990304,K21808
10611,K21808
652810,K21808
2294150,K21808
2294151,K21808
2364646,K21808
